"type";"begin_time";"frequency";"count";"created with version";"exported with version";"last_name";"first_name";"born";"sex";"measurement_date";"record_name"
"record";"0,00000";"2000.4";"42520";"Noraxon myoRESEARCH Software 4.2.22";"4.2.22";"MyoMetrics Demo Record";"";"";"male";"2025-12-02T11:31:19.387+01:00";"Free Capture"

"time";"Activity";"Marker";"BICEPS BR. LT (uV)"
0,00000;"Activity";;-9,373022054
0,00050;;;-5,100300347
0,00100;;;-0,2171898234
0,00150;;;1,003587807
0,00200;;;1,003587807
0,00250;;;6,191892738
0,00300;;;19,62044668
0,00350;;;35,79575029
0,00400;;;43,73080489
0,00450;;;40,98405522
0,00500;;;34,26977825
0,00550;;;31,52302858
0,00600;;;32,13341739
0,00650;;;31,52302858
0,00700;;;28,4710845
0,00750;;;26,94511246
0,00800;;;27,55550128
0,00850;;;26,63991805
0,00900;;;22,67239075
0,00950;;;18,09447464
0,01000;;;15,95811378
0,01050;;;14,43214175
0,01100;;;11,38019767
0,01150;;;7,412670369
0,01200;;;4,6659207
0,01250;;;0,6983933997
0,01300;;;-6,626272385
0,01350;;;-15,1717158
0,01400;;;-20,66521514
0,01450;;;-24,32754803
0,01500;;;-27,98988092
0,01550;;;-29,82104737
0,01600;;;-27,68468652
0,01650;;;-24,93793685
0,01700;;;-24,93793685
0,01750;;;-26,15871448
0,01800;;;-24,93793685
0,01850;;;-21,58079836
0,01900;;;-20,36002073
0,01950;;;-19,74963192
0,02000;;;-16,08729902
0,02050;;;-11,50938291
0,02100;;;-9,678216462
0,02150;;;-9,373022054
0,02200;;;-5,405494754
0,02250;;;1,919171031
0,02300;;;7,717864777
0,02350;;;11,99058648
0,02400;;;18,39966905
0,02450;;;26,63991805
0,02500;;;30,30225095
0,02550;;;28,16589009
0,02600;;;25,72433483
0,02650;;;24,5035572
0,02700;;;22,36719635
0,02750;;;18,70486345
0,02800;;;17,78928023
0,02849;;;18,70486345
0,02899;;;17,48408582
0,02949;;;12,29578089
0,02999;;;7,717864777
0,03049;;;6,191892738
0,03099;;;4,971115108
0,03149;;;1,613976623
0,03199;;;-2,353550677
0,03249;;;-6,931466793
0,03299;;;-13,95093817
0,03349;;;-22,19118718
0,03399;;;-28,29507533
0,03449;;;-31,95740822
0,03499;;;-35,0093523
0,03549;;;-36,23012993
0,03599;;;-34,09376908
0,03649;;;-30,12624178
0,03699;;;-29,21065856
0,03749;;;-30,12624178
0,03799;;;-28,29507533
0,03849;;;-24,32754803
0,03899;;;-21,27560395
0,03949;;;-20,05482632
0,03999;;;-17,30807665
0,04049;;;-13,34054935
0,04099;;;-11,50938291
0,04149;;;-10,59379969
0,04199;;;-6,01588357
