"type";"begin_time";"frequency";"count";"created with version";"exported with version";"last_name";"first_name";"born";"sex";"measurement_date";"record_name"
"record";"0,00000";"2000.4";"94200";"Noraxon myoRESEARCH Software 4.2.22";"4.2.22";"MyoMetrics Demo Record";"";"";"male";"2025-12-02T12:17:20.230+01:00";"Free Capture-1"

"time";"Activity";"Marker";"BICEPS BR. LT (uV)"
0,00000;"Activity";;-2,416846869
0,00050;;;-10,35190147
0,00100;;;-10,96229028
0,00150;;;-4,85840213
0,00200;;;3,07665247
0,00250;;;10,40131825
0,00300;;;18,94676167
0,00350;;;27,79739949
0,00400;;;31,45973239
0,00450;;;27,49220509
0,00500;;;19,25195608
0,00550;;;9,485735032
0,00600;;;-0,5856804226
0,00650;;;-10,96229028
0,00700;;;-18,28695607
0,00750;;;-20,11812252
0,00800;;;-18,89734488
0,00850;;;-18,59215048
0,00900;;;-18,28695607
0,00950;;;-14,62462318
0,01000;;;-8,825929431
0,01050;;;-3,942818907
0,01100;;;-2,416846869
0,01150;;;-2,111652461
0,01200;;;-3,332430092
0,01250;;;-7,6051518
0,01300;;;-15,84540081
0,01350;;;-23,78045541
0,01400;;;-26,22201067
0,01450;;;-22,55967778
0,01500;;;-15,84540081
0,01550;;;-8,825929431
0,01600;;;-2,416846869
0,01650;;;2,161069247
0,01700;;;4,907818916
0,01750;;;6,433790955
0,01800;;;8,264957401
0,01850;;;9,790929439
0,01900;;;8,875346216
0,01950;;;6,738985362
0,02000;;;6,433790955
0,02050;;;7,654568585
0,02100;;;7,654568585
0,02150;;;4,297430101
0,02200;;;0,02470839283
0,02250;;;-1,806458053
0,02300;;;-2,416846869
0,02350;;;-2,722041276
0,02400;;;-3,027235684
0,02450;;;-1,806458053
0,02500;;;0,9402916159
0,02550;;;4,297430101
0,02600;;;6,738985362
0,02650;;;7,654568585
0,02700;;;7,04417977
0,02750;;;5,518207731
0,02800;;;3,381846878
0,02849;;;2,161069247
0,02899;;;1,245486024
0,02949;;;-0,2804860149
0,02999;;;-1,501263646
0,03049;;;-0,2804860149
0,03099;;;3,381846878
0,03149;;;6,738985362
0,03199;;;5,823402139
0,03249;;;3,07665247
0,03299;;;5,823402139
0,03349;;;17,72598404
0,03399;;;32,0701212
0,03449;;;37,86881495
0,03499;;;32,37531561
0,03549;;;22,60909456
0,03599;;;15,28442878
0,03649;;;8,875346216
0,03699;;;-0,5856804226
0,03749;;;-10,96229028
0,03799;;;-15,84540081
0,03849;;;-13,40384555
0,03899;;;-10,04670706
0,03949;;;-11,5726791
0,03999;;;-17,06617844
0,04049;;;-23,17006659
0,04099;;;-29,27395475
0,04149;;;-34,15706527
0,04199;;;-35,68303731
0,04249;;;-32,32589882
0,04299;;;-25,91681626
0,04349;;;-21,64409455
0,04399;;;-21,33890015
0,04449;;;-22,25448337
0,04499;;;-21,03370574
0,04549;;;-16,45578962
0,04599;;;-11,26748469
0,04649;;;-8,215540615
0,04699;;;-6,994762984
0,04749;;;-3,942818907
0,04799;;;4,907818916
0,04849;;;18,33637285
0,04899;;;31,15453798
0,04949;;;40,0051758
0,04999;;;46,71945277
0,05049;;;54,04411856
0,05099;;;61,06358993
0,05149;;;64,72592283
0,05199;;;64,42072842
0,05249;;;60,45320112
0,05299;;;53,73892415
0,05349;;;46,10906396
0,05399;;;39,39478699
0,05449;;;33,90128765
0,05499;;;28,40778831
0,05549;;;21,38831693
0,05599;;;14,97923437
0,05649;;;11,31690148
0,05699;;;8,570151808
0,05749;;;3,687041285
0,05799;;;-1,806458053
0,05849;;;-5,773985354
0,05899;;;-8,215540615
0,05949;;;-12,79345673
0,05999;;;-19,81292811
0,06049;;;-25,61162185
0,06099;;;-28,35837152
0,06149;;;-30,49473238
0,06199;;;-33,54667645
0,06249;;;-34,76745409
0,06299;;;-32,02070442
0,06349;;;-27,74798271
0,06399;;;-27,13759389
0,06449;;;-32,02070442
0,06499;;;-39,95575902
0,06549;;;-45,44925835
0,06599;;;-46,05964717
0,06649;;;-40,87134224
0,06699;;;-32,93628764
0,06749;;;-25,61162185
0,06799;;;-19,5077337
0,06849;;;-13,40384555
0,06899;;;-6,384374169
0,06949;;;0,02470839283
0,06999;;;5,213013324
0,07049;;;8,570151808
0,07099;;;10,40131825
0,07149;;;11,01170707
0,07199;;;10,70651266
0,07249;;;10,09612385
0,07299;;;9,180540624
0,07349;;;7,654568585
0,07399;;;6,738985362
0,07449;;;6,738985362
0,07499;;;7,04417977
0,07549;;;6,128596547
0,07599;;;4,297430101
0,07649;;;3,687041285
0,07699;;;3,687041285
0,07749;;;3,07665247
0,07799;;;1,855874839
0,07849;;;1,245486024
0,07899;;;0,6350972082
0,07949;;;-0,8908748303
0,07999;;;-3,6376245
0,08049;;;-5,773985354
0,08099;;;-6,689568577
0,08149;;;-8,215540615
0,08199;;;-9,741512654
0,08249;;;-9,741512654
0,08299;;;-8,825929431
0,08349;;;-9,131123838
0,08399;;;-10,65709588
0,08448;;;-11,26748469
0,08498;;;-10,35190147
0,08548;;;-9,741512654
0,08598;;;-10,04670706
0,08648;;;-10,04670706
0,08698;;;-8,215540615
0,08748;;;-6,384374169
0,08798;;;-6,384374169
0,08848;;;-7,299957392
0,08898;;;-7,910346207
0,08948;;;-6,994762984
0,08998;;;-4,85840213
0,09048;;;-2,416846869
0,09098;;;-0,2804860149
0,09148;;;0,6350972082
0,09198;;;1,855874839
0,09248;;;3,381846878
0,09298;;;4,297430101
0,09348;;;3,992235693
0,09398;;;6,128596547
0,09448;;;13,75845674
0,09498;;;24,1350666
0,09548;;;31,15453798
0,09598;;;31,15453798
0,09648;;;25,66103864
0,09698;;;18,64156726
0,09748;;;9,790929439
0,09798;;;0,02470839283
0,09848;;;-8,215540615
0,09898;;;-14,01423436
0,09948;;;-17,98176166
0,09998;;;-21,03370574
0,10048;;;-22,86487218
0,10098;;;-23,475261
0,10148;;;-23,17006659
0,10198;;;-21,94928896
0,10248;;;-19,20253929
0,10298;;;-15,5402064
0,10348;;;-13,09865114
0,10398;;;-12,48826232
0,10448;;;-11,26748469
0,10498;;;-7,910346207
0,10548;;;-4,85840213
0,10598;;;-4,248013315
0,10648;;;-3,6376245
0,10698;;;-1,196069238
0,10748;;;1,550680431
0,10798;;;1,550680431
0,10848;;;-0,5856804226
0,10898;;;-1,501263646
0,10948;;;-0,2804860149
0,10998;;;0,3299028005
0,11048;;;-0,2804860149
0,11098;;;-0,2804860149
0,11148;;;2,771458062
0,11198;;;7,349374178
0,11248;;;10,09612385
0,11298;;;11,01170707
0,11348;;;11,31690148
0,11398;;;12,2324847
0,11448;;;11,62209589
0,11498;;;9,180540624
0,11548;;;6,433790955
0,11598;;;3,992235693
0,11648;;;2,161069247
0,11698;;;0,3299028005
0,11748;;;-0,5856804226
0,11798;;;-1,501263646
0,11848;;;-1,806458053
0,11898;;;-1,806458053
0,11948;;;-0,8908748303
0,11998;;;1,855874839
0,12048;;;5,823402139
0,12098;;;6,738985362
0,12148;;;0,9402916159
0,12198;;;-9,741512654
0,12248;;;-21,64409455
0,12298;;;-30,18953797
0,12348;;;-33,85187086
0,12398;;;-32,63109323
0,12448;;;-27,4427883
0,12498;;;-20,42331692
0,12548;;;-14,01423436
0,12598;;;-8,520735023
0,12648;;;-2,111652461
0,12698;;;4,907818916
0,12748;;;11,01170707
0,12798;;;14,36884555
0,12848;;;15,58962319
0,12898;;;16,200012
0,12948;;;15,89481759
0,12998;;;15,58962319
0,13048;;;15,28442878
0,13098;;;14,67403996
0,13148;;;12,2324847
0,13198;;;11,01170707
0,13248;;;14,97923437
0,13298;;;21,99870575
0,13348;;;25,96623305
0,13398;;;25,05064982
0,13448;;;27,49220509
0,13498;;;38,47920376
0,13548;;;50,38178566
0,13598;;;51,29736889
0,13648;;;40,61556462
0,13698;;;27,79739949
0,13748;;;16,50520641
0,13798;;;2,161069247
0,13848;;;-19,20253929
0,13898;;;-43,61809191
0,13948;;;-61,62456196
0,13998;;;-67,72845012
0,14048;;;-62,54014519
0,14097;;;-50,94275769
0,14147;;;-38,12459257
0,14197;;;-27,74798271
0,14247;;;-18,89734488
0,14297;;;-10,35190147
0,14347;;;-2,111652461
0,14397;;;3,687041285
0,14447;;;5,823402139
0,14497;;;5,213013324
0,14547;;;2,466263654
0,14597;;;0,02470839283
0,14647;;;0,02470839283
0,14697;;;1,245486024
0,14747;;;-0,2804860149
0,14797;;;-7,6051518
0,14847;;;-16,76098403
0,14897;;;-22,86487218
0,14947;;;-25,30642745
0,14997;;;-25,61162185
0,15047;;;-24,69603863
0,15097;;;-21,33890015
0,15147;;;-13,70903995
0,15197;;;-2,111652461
0,15247;;;11,01170707
0,15297;;;22,30390016
0,15347;;;29,01817712
0,15397;;;32,98570442
0,15447;;;35,73245409
0,15497;;;36,64803732
0,15547;;;33,59609324
0,15597;;;27,18701068
0,15647;;;20,77792812
0,15697;;;16,81040082
0,15747;;;14,36884555
0,15797;;;13,14806792
0,15847;;;13,75845674
0,15897;;;14,36884555
0,15947;;;11,92729029
0,15997;;;7,654568585
0,16047;;;6,128596547
0,16097;;;7,04417977
0,16147;;;6,433790955
0,16197;;;3,07665247
0,16247;;;1,855874839
0,16297;;;6,128596547
0,16347;;;11,31690148
0,16397;;;12,84287352
0,16447;;;11,62209589
0,16497;;;11,92729029
0,16547;;;13,75845674
0,16597;;;13,45326233
0,16647;;;10,09612385
0,16697;;;5,518207731
0,16747;;;1,245486024
0,16797;;;-2,416846869
0,16847;;;-6,689568577
0,16897;;;-10,04670706
0,16947;;;-12,48826232
0,16997;;;-14,92981758
0,17047;;;-17,06617844
0,17097;;;-18,28695607
0,17147;;;-17,98176166
0,17197;;;-15,84540081
0,17247;;;-13,40384555
0,17297;;;-10,65709588
0,17347;;;-9,436318246
0,17397;;;-10,04670706
0,17447;;;-10,65709588
0,17497;;;-9,741512654
0,17547;;;-7,910346207
0,17597;;;-6,384374169
0,17647;;;-5,773985354
0,17697;;;-4,85840213
0,17747;;;-3,942818907
0,17797;;;-3,6376245
0,17847;;;-3,332430092
0,17897;;;-2,111652461
0,17947;;;-0,5856804226
0,17997;;;-0,8908748303
0,18047;;;-3,332430092
0,18097;;;-5,468790946
0,18147;;;-5,773985354
0,18197;;;-4,553207723
0,18247;;;-3,027235684
0,18297;;;-1,501263646
0,18347;;;-0,8908748303
0,18397;;;-2,722041276
0,18447;;;-5,468790946
0,18497;;;-6,079179761
0,18547;;;-2,722041276
0,18597;;;0,9402916159
0,18647;;;2,771458062
0,18697;;;3,687041285
0,18747;;;5,213013324
0,18797;;;7,349374178
0,18847;;;8,264957401
0,18897;;;7,654568585
0,18947;;;7,04417977
0,18997;;;5,823402139
0,19047;;;3,687041285
0,19097;;;1,855874839
0,19147;;;1,855874839
0,19197;;;3,07665247
0,19247;;;2,771458062
0,19297;;;0,3299028005
0,19347;;;-2,722041276
0,19397;;;-6,079179761
0,19447;;;-10,04670706
0,19497;;;-12,79345673
0,19547;;;-12,48826232
0,19597;;;-9,436318246
0,19647;;;-6,384374169
0,19696;;;-4,553207723
0,19746;;;-1,806458053
0,19796;;;1,855874839
0,19846;;;5,518207731
0,19896;;;6,738985362
0,19946;;;6,738985362
0,19996;;;7,654568585
0,20046;;;9,790929439
0,20096;;;11,31690148
0,20146;;;11,62209589
0,20196;;;12,2324847
0,20246;;;11,92729029
0,20296;;;9,180540624
0,20346;;;4,907818916
0,20396;;;1,550680431
0,20446;;;0,9402916159
0,20496;;;0,9402916159
0,20546;;;-0,8908748303
0,20596;;;-4,85840213
0,20646;;;-8,215540615
0,20696;;;-8,520735023
0,20746;;;-7,299957392
0,20796;;;-6,079179761
0,20846;;;-5,468790946
0,20896;;;-4,553207723
0,20946;;;-3,027235684
0,20996;;;-1,501263646
0,21046;;;-0,5856804226
0,21096;;;-1,196069238
0,21146;;;-3,942818907
0,21196;;;-9,131123838
0,21246;;;-15,23501199
0,21296;;;-18,59215048
0,21346;;;-18,28695607
0,21396;;;-16,45578962
0,21446;;;-17,67656725
0,21496;;;-22,25448337
0,21546;;;-25,61162185
0,21596;;;-23,78045541
0,21646;;;-17,06617844
0,21696;;;-8,825929431
0,21746;;;-1,501263646
0,21796;;;4,297430101
0,21846;;;11,31690148
0,21896;;;19,25195608
0,21946;;;26,57662186
0,21996;;;29,93376035
0,22046;;;29,01817712
0,22096;;;26,88181627
