Feature,Value
metadata_duration_s,33.11361
metadata_num_samples,66240
metadata_fs,2000
metadata_lowcut,20
metadata_highcut,450
raw_signal_mean,0.013282508664610952
raw_signal_std,89.03957422383496
raw_signal_min,-890.5368439
raw_signal_max,895.1556356
time_domain_RMS,86.09492407277386
time_domain_MAV,39.36333875511633
time_domain_WL,855094.6365773283
time_domain_ZC,7947.0
time_domain_IEMG,2607427.5591389057
time_domain_Peak,872.0760323486742
time_domain_DAMV,12.909232273695682
frequency_domain_MNF,86.64447095080453
frequency_domain_MDF,74.21875
frequency_domain_Peak_Freq,76.171875
frequency_domain_Total_Power,3818.890467481378
frequency_domain_Power_Below_100Hz,75.10637396920593
envelope_max,233.62039701475118
envelope_mean,39.36250269961925
envelope_std,48.82446228737858
envelope_mvc_value,233.62039701475118
fatigue_MDF_Segment_0,76.171875
fatigue_MDF_Segment_1,72.265625
fatigue_MDF_Segment_2,72.265625
fatigue_MDF_Drop_%,5.128205128205128
fatigue_Fatigue_Detected,False
